Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"BH, ArGal rep3",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"BH, ArGal rep3",1.0,0.0,0.0,0.02589999884367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8942315696878,0,1,0,0,0,0
"BH, ArGal rep3",2.0,0.0,0.0,0.056100003421307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82867747661802,0,1,0,0,0,0
"BH, Inulin rep1",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"BH, Inulin rep1",1.0,0.0,0.0,0.135600000619888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83361829143092,0,0,1,0,0,0
"BH, Inulin rep1",2.0,0.0,0.0,0.157399997115135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6983955418709,0,0,1,0,0,0
"BH, Inulin rep2",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"BH, Inulin rep2",1.0,0.0,0.0,0.143600009381771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78149368167787,0,0,1,0,0,0
"BH, Inulin rep2",2.0,0.0,0.0,0.188000001013279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67087431219603,0,0,1,0,0,0
"BH, Inulin rep3",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,1,0,0,0
"BH, Inulin rep3",1.0,0.0,0.0,0.126499995589256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79691807326453,0,0,1,0,0,0
"BH, Inulin rep3",2.0,0.0,0.0,0.166400000452995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68036290956431,0,0,1,0,0,0
"BH, Starch rep1",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"BH, Starch rep1",1.0,0.0,0.0,0.033099994063377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84443255839443,0,0,0,0,1,0
