Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"CC, Starch",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000169277199981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92441999758143,0.0,0.0,0.0,0.0,1.0,0.0
"CC, Xylan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"CC, Xylan",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383333320419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897871498787237,0.0,0.0,0.0,0.0,0.0,1.0
"CC, none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"CC, none",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015300001949071667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.929191630155816,0.0,0.0,0.0,0.0,0.0,0.0
"CH, AcGum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"CH, AcGum",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015933332343896333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88443316051145,1.0,0.0,0.0,0.0,0.0,0.0
"CH, ArGal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"CH, ArGal",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011833336204290668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.900850608529954,0.0,1.0,0.0,0.0,0.0,0.0
"CH, Inulin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"CH, Inulin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370000412066766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84285914179809,0.0,0.0,1.0,0.0,0.0,0.0
"CH, Pectin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"CH, Pectin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24640001108249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7067595662200965,0.0,0.0,0.0,1.0,0.0,0.0
"CH, Starch",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"CH, Starch",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011766667167345667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.907919914240927,0.0,0.0,0.0,0.0,1.0,0.0
"CH, Xylan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"CH, Xylan",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015133332461118665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8688370324194805,0.0,0.0,0.0,0.0,0.0,1.0
"CH, none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"CH, none",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001466667900483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9147645430068465,0.0,0.0,0.0,0.0,0.0,0.0
"DF, AcGum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"DF, AcGum",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018866665661335002,0.0,0.0,0.0,0.0,0.0,0.0,6.88436686112678,1.0,0.0,0.0,0.0,0.0,0.0
"DF, ArGal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"DF, ArGal",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013033334165811669,0.0,0.0,0.0,0.0,0.0,0.0,6.925877444024093,0.0,1.0,0.0,0.0,0.0,0.0
"DF, Inulin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"DF, Inulin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333233992,0.0,0.0,0.0,0.0,0.0,0.0,6.93510977634356,0.0,0.0,1.0,0.0,0.0,0.0
"DF, Pectin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"DF, Pectin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256666531165433,0.0,0.0,0.0,0.0,0.0,0.0,6.802191687814802,0.0,0.0,0.0,1.0,0.0,0.0
"DF, Starch",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"DF, Starch",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015399997433026334,0.0,0.0,0.0,0.0,0.0,0.0,6.91670519912282,0.0,0.0,0.0,0.0,1.0,0.0
"DF, Xylan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"DF, Xylan",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011399998019139,0.0,0.0,0.0,0.0,0.0,0.0,6.909007255710107,0.0,0.0,0.0,0.0,0.0,1.0
"DF, none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"DF, none",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002066665639479667,0.0,0.0,0.0,0.0,0.0,0.0,6.9234506763408,0.0,0.0,0.0,0.0,0.0,0.0
